=====BubbleSort 1000=====
Benchmark 1: 23842
Benchmark 2: 23551
Benchmark 3: 23829
Benchmark 4: 23733
Benchmark 5: 23780
Benchmark 6: 23571
Benchmark 7: 23633
Benchmark 8: 23605
Benchmark 9: 23627
Media: 23668=====ShellSort 40000=====
Benchmark 0: 36662
Benchmark 1: 36150
Benchmark 2: 36435
Benchmark 3: 36321
Benchmark 4: 36433
Benchmark 5: 36318
Benchmark 6: 36347
Benchmark 7: 36233
Benchmark 8: 36474
Benchmark 9: 36368
Media: 36374=====MergeSort 1000=====
Benchmark 0: 366
Benchmark 1: 356
Benchmark 2: 353
Benchmark 3: 351
Benchmark 4: 353
Benchmark 5: 336
Benchmark 6: 337
Benchmark 7: 336
Benchmark 8: 335
Benchmark 9: 337
Media: 346=====MergeSort 5000=====
Benchmark 0: 2139
Benchmark 1: 2156
Benchmark 2: 2153
Benchmark 3: 2151
Benchmark 4: 2137
Benchmark 5: 2164
Benchmark 6: 2160
Benchmark 7: 2151
Benchmark 8: 2149
Benchmark 9: 2206
Media: 2156=====MergeSort 10000=====
Benchmark 0: 4671
Benchmark 1: 4639
Benchmark 2: 4543
Benchmark 3: 4512
Benchmark 4: 4654
Benchmark 5: 4687
Benchmark 6: 4619
Benchmark 7: 4533
Benchmark 8: 4611
Benchmark 9: 4652
Media: 4612=====MergeSort 20000=====
Benchmark 0: 10032
Benchmark 1: 9854
Benchmark 2: 9827
Benchmark 3: 9993
Benchmark 4: 10011
Benchmark 5: 10007
Benchmark 6: 10036
Benchmark 7: 9891
Benchmark 8: 9933
Benchmark 9: 9984
Media: 9956=====MergeSort 30000=====
Benchmark 0: 15623
Benchmark 1: 15399
Benchmark 2: 15436
Benchmark 3: 15530
Benchmark 4: 15423
Benchmark 5: 15286
Benchmark 6: 15443
Benchmark 7: 15617
Benchmark 8: 15347
Benchmark 9: 15477
Media: 15458=====MergeSort 40000=====
Benchmark 0: 21490
Benchmark 1: 21264
Benchmark 2: 21418
Benchmark 3: 21438
Benchmark 4: 21187
Benchmark 5: 21128
Benchmark 6: 21105
Benchmark 7: 21169
Benchmark 8: 21189
Benchmark 9: 21149
Media: 21253=====QuickSort 1000=====
Benchmark 0: 249
Benchmark 1: 246
Benchmark 2: 240
Benchmark 3: 242
Benchmark 4: 241
Benchmark 5: 241
Benchmark 6: 238
Benchmark 7: 240
Benchmark 8: 238
Benchmark 9: 240
Media: 241=====QuickSort 5000=====
Benchmark 0: 1520
Benchmark 1: 1501
Benchmark 2: 1489
Benchmark 3: 1498
Benchmark 4: 1501
Benchmark 5: 1497
Benchmark 6: 1487
Benchmark 7: 1509
Benchmark 8: 1496
Benchmark 9: 1497
Media: 1499=====QuickSort 10000=====
Benchmark 0: 3203
Benchmark 1: 3213
Benchmark 2: 3192
Benchmark 3: 3254
Benchmark 4: 3272
Benchmark 5: 3274
Benchmark 6: 3283
Benchmark 7: 3297
Benchmark 8: 3290
Benchmark 9: 3260
Media: 3253=====QuickSort 20000=====
Benchmark 0: 6856
Benchmark 1: 6996
Benchmark 2: 6989
Benchmark 3: 6962
Benchmark 4: 6787
Benchmark 5: 6948
Benchmark 6: 6959
Benchmark 7: 6822
Benchmark 8: 6945
Benchmark 9: 6837
Media: 6910=====QuickSort 30000=====
Benchmark 0: 10732
Benchmark 1: 10854
Benchmark 2: 10854
Benchmark 3: 10905
Benchmark 4: 10771
Benchmark 5: 10929
Benchmark 6: 10809
Benchmark 7: 10880
Benchmark 8: 10838
Benchmark 9: 10881
Media: 10845=====QuickSort 40000=====
Benchmark 0: 14785
Benchmark 1: 14862
Benchmark 2: 12949
Benchmark 3: 14511
Benchmark 4: 14848
Benchmark 5: 14709
Benchmark 6: 14790
Benchmark 7: 14712
Benchmark 8: 14933
Benchmark 9: 14751
Media: 14585
